"Casual","Casual"
"Light League","Ligue légère"
"Special Event","Événement spécial"
"Meets","Rencontres"
"Events","Événements"
"Filter by Location","Filtrer par lieu"
"All Locations","Tous les lieux"
"Meet Type","Type de rencontre"
"All Types","Tous les types"
"Filter","Filtrer"
"No meets found.","Aucune rencontre trouvée."
"No events found.","Aucun événement trouvé."
"Location:","Lieu :"
"Location","Lieu"
"Date:","Date :"
"Starting Date:","Date de début :"
"Duration:","Durée :"
"Duration (Minutes)","Durée (minutes)"
"minutes","minutes"
"Available Slots:","Places disponibles :"
"Max Slots","Places max"
"You are on the waitlist","Vous êtes sur la liste d'attente"
"You are registered","Vous êtes inscrit"
"Unregister","Se désinscrire"
"Register","S'inscrire"
"Join Waitlist","Rejoindre la liste d'attente"
"Login to Register","Se connecter pour s'inscrire"
"You must be logged in to register for events.","Vous devez être connecté pour vous inscrire à des événements."
"You must be logged in to register for meets.","Vous devez être connecté pour vous inscrire à des rencontres."
"Meet ID is required.","L'ID de la rencontre est obligatoire."
"You have been added to the waitlist.","Vous avez été ajouté à la liste d'attente."
"You have been successfully registered for this event.","Vous avez été inscrit avec succès à cet événement."
"You have been successfully registered for this meet.","Vous avez été inscrit avec succès à cette rencontre."
"An error occurred while processing your registration.","Une erreur est survenue pendant le traitement de votre inscription."
"You must be logged in to unregister from events.","Vous devez être connecté pour vous désinscrire d'événements."
"You must be logged in to unregister from meets.","Vous devez être connecté pour vous désinscrire de rencontres."
"You have been successfully unregistered from this event.","Vous vous êtes désinscrit avec succès de cet événement."
"You have been successfully unregistered from this meet.","Vous vous êtes désinscrit avec succès de cette rencontre."
"An error occurred while processing your unregistration.","Une erreur est survenue pendant le traitement de votre désinscription."
"Are you sure you want to unregister from this meet?","Êtes-vous sûr de vouloir vous désinscrire de cette rencontre ?"
"You are already registered for this meet.","Vous êtes déjà inscrit à cette rencontre."
"This meet is not active.","Cette rencontre n'est pas active."
"This meet has already started or finished.","Cette rencontre a déjà commencé ou est terminée."
"An error occurred.","Une erreur est survenue."
"League","Ligue"
"Special","Spécial"
"Biweekly","Bimensuel"
"Weekly","Hebdomadaire"
"None","Aucun"
"Recurrence Type","Type de récurrence"
"Name","Nom"
"Start Date","Date de début"
"Description","Description"
"Is Active","Actif"
"Yes","Oui"
"No","Non"
"Meet Information","Informations sur la rencontre"
"Event Information","Informations sur l'événement"
"Location Information","Informations sur le lieu"
"-- Please Select --","-- Veuillez sélectionner --"
"Address","Adresse"
"City","Ville"
"Postal Code","Code postal"
"Country Code","Code pays"
"Country Code (2 letters)","Code pays (2 lettres)"
"Latitude","Latitude"
"Longitude","Longitude"
"Event Registration Confirmed","Inscription à l'événement confirmée"
"Event Registration - Waitlist","Inscription à l'événement - Liste d'attente"
"Event Registration Confirmed - Spot Available","Inscription à l'événement confirmée - Place disponible"
"Event Registration Status Changed - Moved to Waitlist","Statut d'inscription modifié - Déplacé vers la liste d'attente"
"Event Unregistration Confirmation","Confirmation de désinscription de l'événement"
"Hello %customer_name,","Bonjour %customer_name,"
"Your registration for the event has been confirmed!","Votre inscription à l'événement a été confirmée !"
"You have been added to the waitlist for this event.","Vous avez été ajouté à la liste d'attente pour cet événement."
"Great news! A spot has become available and your registration for the event has been confirmed!","Bonne nouvelle ! Une place s'est libérée et votre inscription à l'événement a été confirmée !"
"We wanted to inform you that your registration status for the following event has been changed to waitlist:","Nous voulions vous informer que votre statut d'inscription à l'événement suivant a été changé en liste d'attente :"
"Your registration for the following event has been cancelled:","Votre inscription à l'événement suivant a été annulée :"
"Registration ID:","ID d'inscription :"
"Event:","Événement :"
"Time:","Heure :"
"Description:","Description :"
"Status:","Statut :"
"Confirmed","Confirmé"
"Waitlist","Liste d'attente"
"Please bring this QR code to the event:","Veuillez apporter ce QR code à l'événement :"
"Registration QR Code","QR code d'inscription"
"We look forward to seeing you at the event!","Nous nous réjouissons de vous voir à l'événement !"
"We will notify you if a spot becomes available.","Nous vous préviendrons si une place se libère."
"We will notify you if a spot becomes available again.","Nous vous préviendrons si une place se libère à nouveau."
"We're sorry to see you won't be able to attend. We hope to see you at future events!","Nous sommes désolés que vous ne puissiez pas participer. Au plaisir de vous voir lors de futurs événements !"
"Events are currently not available.","Les événements ne sont pas disponibles actuellement."
"Events Not Available","Événements non disponibles"
"Event Types","Types d'événements"
"Event Type","Type d'événement"
"Code","Code"
"Sort Order","Ordre de tri"
"This event type no longer exists.","Ce type d'événement n'existe plus."
"The event type has been saved.","Le type d'événement a été enregistré."
"The event type has been deleted.","Le type d'événement a été supprimé."
"We can't find an event type to delete.","Impossible de trouver un type d'événement à supprimer."
"Something went wrong while saving the event type.","Une erreur est survenue lors de l'enregistrement du type d'événement."
"Please select event type(s).","Veuillez sélectionner un ou plusieurs types d'événements."
"New Event Type","Nouveau type d'événement"
"Edit Event Type","Modifier le type d'événement"
"Event Type Information","Informations sur le type d'événement"
"Manage Event Types","Gérer les types d'événements"
"Event Types Management","Gestion des types d'événements"
"Attendance Check","Vérification de présence"
"Invalid registration ID.","ID d'inscription invalide."
"Registration not found.","Inscription non trouvée."
"An error occurred while processing attendance.","Une erreur est survenue lors du traitement de la présence."
"Registration Information","Informations d'inscription"
"Customer:","Client :"
"N/A","N/D"
"Attendance Count:","Nombre de présences :"
"Enter Location Code","Saisir le code du lieu"
"Location Code:","Code du lieu :"
"Validate Code","Valider le code"
"Check Attendance","Vérifier la présence"
"Location code validated. Click the button below to record attendance.","Code du lieu validé. Cliquez sur le bouton ci-dessous pour enregistrer la présence."
"Record Attendance","Enregistrer la présence"
"Registration or event information not found.","Informations d'inscription ou d'événement non trouvées."
"Invalid location code.","Code de lieu invalide."
"Location code validated successfully.","Code de lieu validé avec succès."
"Please enter location code first.","Veuillez d'abord saisir le code du lieu."
"The registration is not for this location.","L'inscription n'est pas pour ce lieu."
"The current date does not match the event date.","La date actuelle ne correspond pas à la date de l'événement."
"Attendance has already been recorded for today.","La présence a déjà été enregistrée aujourd'hui."
"Attendance recorded successfully!","Présence enregistrée avec succès !"
"Failed to record attendance. Please try again.","Échec de l'enregistrement de la présence. Veuillez réessayer."
"Location Code","Code du lieu"
"Unique code for attendance validation. Alphanumeric characters only.","Code unique pour valider la présence. Caractères alphanumériques uniquement."
"Attendance Count","Nombre de présences"
"Theme:","Thème :"
"Filter by Theme","Filtrer par thème"
"All Themes","Tous les thèmes"
"Show all","Tous"
"Back to Events","Retour aux événements"
"Add to Calendar:","Ajouter au calendrier :"
"Download iCal file","Télécharger le fichier iCal"
"Add to Google Calendar","Ajouter à Google Calendar"
"Download iCal","Télécharger iCal"
"Phone Number","Numéro de téléphone"
"Please provide a contact phone number","Veuillez indiquer un numéro de téléphone de contact"
"Update Phone Number","Mettre à jour le numéro de téléphone"
"Phone number is required","Le numéro de téléphone est obligatoire"
"Invalid phone number format","Format de numéro de téléphone invalide"
"Phone number updated successfully.","Numéro de téléphone mis à jour avec succès."
"Phone number updated successfully","Numéro de téléphone mis à jour avec succès"
"Please enter a contact phone number (9-15 digits). Formatting like +, (, ) is allowed.","Veuillez saisir un numéro de téléphone de contact (9-15 chiffres). Les symboles +, (, ) sont autorisés."
"e.g. 618123456","ex. 618123456"
"Phone number is required for registration.","Le numéro de téléphone est obligatoire pour l'inscription."
"Invalid phone number format. Please enter 9-15 digits (formatting like +, (, ) is allowed).","Format de numéro de téléphone invalide. Veuillez saisir 9-15 chiffres (les symboles +, (, ) sont autorisés)."
"You must be logged in to update your phone number.","Vous devez être connecté pour mettre à jour votre numéro de téléphone."
"You are not registered for this meet.","Vous n'êtes pas inscrit à cette rencontre."
"An error occurred while updating your phone number.","Une erreur est survenue lors de la mise à jour de votre numéro de téléphone."
"Update","Mettre à jour"
"Submit","Envoyer"
"Cancel","Annuler"
"Additional Info Link","Lien d'informations supplémentaires"
"Event Details","Détails de l'événement"
"Enter relative path (e.g., 'eventos/torneo-2024'). The full URL will be: http://zacatrus.es/[path]","Saisir le chemin relatif (ex., 'eventos/torneo-2024'). L'URL complète sera : http://zacatrus.es/[chemin]"
"Reminder Days","Jours de rappel"
"Comma-separated days before event to send reminders (e.g., '7,3,1'). Leave empty to disable reminders.","Jours séparés par des virgules avant l'événement pour envoyer les rappels (ex., '7,3,1'). Laisser vide pour désactiver les rappels."
"Event Reminder","Rappel d'événement"
"days until event","jours avant l'événement"
"Unsubscribe from reminders","Se désinscrire des rappels"
"You have been unsubscribed from reminder emails for this event.","Vous avez été désinscrit des emails de rappel pour cet événement."
"Invalid unsubscribe code.","Code de désinscription invalide."
"Please enter only positive integers separated by commas (e.g., 7,3,1)","Veuillez saisir uniquement des entiers positifs séparés par des virgules (ex., 7,3,1)"
"Thank you for managing your email preferences.","Merci de gérer vos préférences email."
"This is a reminder that you have an event coming up in %days_before day(s).","Ceci est un rappel : vous avez un événement dans %days_before jour(s)."
"Unsubscribe from Reminders","Se désinscrire des rappels"
"Disable Email Reminders","Désactiver les rappels par email"
"If enabled, this participant will not receive reminder emails for this event.","Si activé, ce participant ne recevra pas d'emails de rappel pour cet événement."
"Start Date:","Date de début :"
"End Date:","Date de fin :"
"Max Attendees per Subscriber","Participants max par inscription"
"Maximum number of people a customer can register in one subscription for this event (1 to 10).","Nombre maximum de personnes qu'un client peut inscrire en une seule inscription pour cet événement (1 à 10)."
"Attendees","Participants"
"Number of Attendees","Nombre de participants"
"Number of people for this registration (1 to the meet's max attendees per subscriber).","Nombre de personnes pour cette inscription (1 au maximum de participants par inscription de la rencontre)."
"Number of people","Nombre de personnes"
"You registered for %1 people.","Vous vous êtes inscrit pour %1 personnes."
"Registration conditions","Conditions d'inscription"
"I accept the conditions","J'accepte les conditions"
"Show conditions","Voir les conditions"
"Close","Fermer"
"You must accept the conditions to register.","Vous devez accepter les conditions pour vous inscrire."
"Optional. If filled, subscribers must accept these conditions before registering. Shown as a link next to a checkbox in the registration form. HTML is allowed.","Optionnel. Si rempli, les utilisateurs devront accepter ces conditions avant de s'inscrire. Affiché comme un lien à côté d'une case à cocher dans le formulaire d'inscription. HTML autorisé."
"Show only your events (%1)","Voir uniquement vos événements (%1)"
"Show all events","Voir tous les événements"
"View QR","Voir le QR"
"Show this QR at the event entrance","Présentez ce QR à l'entrée de l'événement"
"%1","%1"
"%1 / %2","%1 / %2"
"%1 booking(s) cancelled.","%1 réservation(s) annulée(s)."
"%1 eventos encontrados","%1 événements trouvés"
"%1 mesas (hasta %2 personas)","%1 tables (jusqu'à %2 personnes)"
"%1 minutos","%1 minutes"
"%1 participant(s) could not be confirmed. They may have already been confirmed for today.","Impossible de confirmer la présence de %1 participant(s). Ils ont peut-être déjà été confirmés aujourd'hui."
"%1 participant(s) could not have attendance removed. They may not have any attendance records.","Impossible de supprimer la présence de %1 participant(s). Ils n'ont peut-être aucun enregistrement de présence."
"%1 turnos al día","%1 créneaux par jour"
"-- Select a location --","-- Sélectionnez un lieu --"
"1 evento encontrado","1 événement trouvé"
"A total of %1 participant(s) have been confirmed for attendance.","La présence de %1 participant(s) a été confirmée au total."
"A total of %1 participant(s) have had attendance removed.","La présence de %1 participant(s) a été supprimée au total."
"A total of %1 record(s) have been deleted.","%1 enregistrement(s) supprimé(s) au total."
"Actions","Actions"
"Active","Actif"
"Add Time Slot","Ajouter un créneau"
"All","Tous"
"All days","Tous les jours"
"An error occurred while confirming attendance: %1","Une erreur est survenue lors de la confirmation de la présence : %1"
"An error occurred while loading the event.","Une erreur est survenue lors du chargement de l'événement."
"An error occurred while processing attendance: %1","Une erreur est survenue lors du traitement de la présence : %1"
"An error occurred while processing your registration: %1","Une erreur est survenue lors du traitement de votre inscription : %1"
"An error occurred while processing your request.","Une erreur est survenue lors du traitement de votre demande."
"An error occurred while removing attendance: %1","Une erreur est survenue lors de la suppression de la présence : %1"
"An error occurred while validating attendance: %1","Une erreur est survenue lors de la validation de la présence : %1"
"An error occurred: %1","Une erreur est survenue : %1"
"Are you sure you want to confirm attendance for selected participant(s)?","Êtes-vous sûr de vouloir confirmer la présence des participants sélectionnés ?"
"Are you sure you want to delete this registration?","Êtes-vous sûr de vouloir supprimer cette inscription ?"
"Are you sure you want to remove attendance for selected participant(s)?","Êtes-vous sûr de vouloir supprimer la présence des participants sélectionnés ?"
"Are you sure?","Êtes-vous sûr ?"
"Asistentes (en total)","Participants (au total)"
"Attendance confirmed successfully for participant #%1","Présence confirmée avec succès pour le participant #%1"
"Attendance removed successfully for participant #%1","Présence supprimée avec succès pour le participant #%1"
"Aún no hay tiendas con ludoteca configurada.","Aucune boutique n'a encore de ludothèque configurée."
"Back","Retour"
"Booking #%1","Réservation #%1"
"Booking #%1 cancelled.","Réservation #%1 annulée."
"Booking not found.","Réservation introuvable."
"Booking slot with id ""%1"" does not exist.","Le créneau de réservation avec l'id ""%1"" n'existe pas."
"Borrarse","Se désinscrire"
"Cada turno debe reservar al menos una mesa.","Chaque créneau doit réserver au moins une table."
"Cancel booking","Annuler la réservation"
"Cancel selected bookings?","Annuler les réservations sélectionnées ?"
"Cancel this booking?","Annuler cette réservation ?"
"Cancelled","Annulée"
"Cannot confirm attendance: meet or location not found.","Impossible de confirmer la présence : rencontre ou lieu introuvable."
"Cannot create new participants. Please select an existing participant to edit.","Impossible de créer de nouveaux participants. Sélectionnez un participant existant à modifier."
"Carnet de socio","Carte de membre"
